number of cameras: 16 , number of points: 22106 , number of observations: 83718 , iteration method: GN , initial lambda: 2.000000 , solve equations method: QR

unsuccessful step! iteration = 2523 , error before = 19089.387785 , error next = 19089.388422 , error change = -0.000637 , lambda = 2.000000 , time consumption = 0.459364s

successful step! iteration = 2524 , error before = 19089.387785 , error next = 19089.387285 , error change = 0.000500 , lambda = 0.200000 , time consumption = 0.461837s

unsuccessful step! iteration = 2525 , error before = 19089.387285 , error next = 19089.387915 , error change = -0.000630 , lambda = 2.000000 , time consumption = 0.464563s

successful step! iteration = 2526 , error before = 19089.387285 , error next = 19089.386791 , error change = 0.000494 , lambda = 0.200000 , time consumption = 0.461556s

unsuccessful step! iteration = 2527 , error before = 19089.386791 , error next = 19089.387414 , error change = -0.000622 , lambda = 2.000000 , time consumption = 0.455930s

successful step! iteration = 2528 , error before = 19089.386791 , error next = 19089.386304 , error change = 0.000488 , lambda = 0.200000 , time consumption = 0.456059s

unsuccessful step! iteration = 2529 , error before = 19089.386304 , error next = 19089.386918 , error change = -0.000615 , lambda = 2.000000 , time consumption = 0.454739s

successful step! iteration = 2530 , error before = 19089.386304 , error next = 19089.385822 , error change = 0.000482 , lambda = 0.200000 , time consumption = 0.455636s

unsuccessful step! iteration = 2531 , error before = 19089.385822 , error next = 19089.386429 , error change = -0.000607 , lambda = 2.000000 , time consumption = 0.458222s

successful step! iteration = 2532 , error before = 19089.385822 , error next = 19089.385346 , error change = 0.000476 , lambda = 0.200000 , time consumption = 0.451862s

unsuccessful step! iteration = 2533 , error before = 19089.385346 , error next = 19089.385946 , error change = -0.000600 , lambda = 2.000000 , time consumption = 0.454533s

successful step! iteration = 2534 , error before = 19089.385346 , error next = 19089.384875 , error change = 0.000470 , lambda = 0.200000 , time consumption = 0.456873s

unsuccessful step! iteration = 2535 , error before = 19089.384875 , error next = 19089.385468 , error change = -0.000593 , lambda = 2.000000 , time consumption = 0.461455s

successful step! iteration = 2536 , error before = 19089.384875 , error next = 19089.384411 , error change = 0.000465 , lambda = 0.200000 , time consumption = 0.463694s

unsuccessful step! iteration = 2537 , error before = 19089.384411 , error next = 19089.384996 , error change = -0.000586 , lambda = 2.000000 , time consumption = 0.460336s

successful step! iteration = 2538 , error before = 19089.384411 , error next = 19089.383952 , error change = 0.000459 , lambda = 0.200000 , time consumption = 0.462266s

unsuccessful step! iteration = 2539 , error before = 19089.383952 , error next = 19089.384530 , error change = -0.000579 , lambda = 2.000000 , time consumption = 0.462182s

successful step! iteration = 2540 , error before = 19089.383952 , error next = 19089.383498 , error change = 0.000454 , lambda = 0.200000 , time consumption = 0.460598s

unsuccessful step! iteration = 2541 , error before = 19089.383498 , error next = 19089.384070 , error change = -0.000572 , lambda = 2.000000 , time consumption = 0.483953s

successful step! iteration = 2542 , error before = 19089.383498 , error next = 19089.383050 , error change = 0.000448 , lambda = 0.200000 , time consumption = 0.465723s

unsuccessful step! iteration = 2543 , error before = 19089.383050 , error next = 19089.383615 , error change = -0.000565 , lambda = 2.000000 , time consumption = 0.471958s

successful step! iteration = 2544 , error before = 19089.383050 , error next = 19089.382607 , error change = 0.000443 , lambda = 0.200000 , time consumption = 0.465998s

unsuccessful step! iteration = 2545 , error before = 19089.382607 , error next = 19089.383165 , error change = -0.000558 , lambda = 2.000000 , time consumption = 0.474842s

successful step! iteration = 2546 , error before = 19089.382607 , error next = 19089.382169 , error change = 0.000438 , lambda = 0.200000 , time consumption = 0.479573s

unsuccessful step! iteration = 2547 , error before = 19089.382169 , error next = 19089.382721 , error change = -0.000551 , lambda = 2.000000 , time consumption = 0.463637s

successful step! iteration = 2548 , error before = 19089.382169 , error next = 19089.381737 , error change = 0.000432 , lambda = 0.200000 , time consumption = 0.467734s

unsuccessful step! iteration = 2549 , error before = 19089.381737 , error next = 19089.382282 , error change = -0.000545 , lambda = 2.000000 , time consumption = 0.482849s

successful step! iteration = 2550 , error before = 19089.381737 , error next = 19089.381310 , error change = 0.000427 , lambda = 0.200000 , time consumption = 0.455394s

unsuccessful step! iteration = 2551 , error before = 19089.381310 , error next = 19089.381848 , error change = -0.000538 , lambda = 2.000000 , time consumption = 0.458018s

successful step! iteration = 2552 , error before = 19089.381310 , error next = 19089.380888 , error change = 0.000422 , lambda = 0.200000 , time consumption = 0.458882s

unsuccessful step! iteration = 2553 , error before = 19089.380888 , error next = 19089.381420 , error change = -0.000532 , lambda = 2.000000 , time consumption = 0.458977s

successful step! iteration = 2554 , error before = 19089.380888 , error next = 19089.380471 , error change = 0.000417 , lambda = 0.200000 , time consumption = 0.458065s

unsuccessful step! iteration = 2555 , error before = 19089.380471 , error next = 19089.380997 , error change = -0.000525 , lambda = 2.000000 , time consumption = 0.459622s

successful step! iteration = 2556 , error before = 19089.380471 , error next = 19089.380059 , error change = 0.000412 , lambda = 0.200000 , time consumption = 0.506136s

unsuccessful step! iteration = 2557 , error before = 19089.380059 , error next = 19089.380579 , error change = -0.000519 , lambda = 2.000000 , time consumption = 0.467139s

successful step! iteration = 2558 , error before = 19089.380059 , error next = 19089.379652 , error change = 0.000407 , lambda = 0.200000 , time consumption = 0.464758s

unsuccessful step! iteration = 2559 , error before = 19089.379652 , error next = 19089.380165 , error change = -0.000513 , lambda = 2.000000 , time consumption = 0.465017s

successful step! iteration = 2560 , error before = 19089.379652 , error next = 19089.379250 , error change = 0.000402 , lambda = 0.200000 , time consumption = 0.464415s

unsuccessful step! iteration = 2561 , error before = 19089.379250 , error next = 19089.379757 , error change = -0.000507 , lambda = 2.000000 , time consumption = 0.462322s

successful step! iteration = 2562 , error before = 19089.379250 , error next = 19089.378853 , error change = 0.000397 , lambda = 0.200000 , time consumption = 0.465932s

unsuccessful step! iteration = 2563 , error before = 19089.378853 , error next = 19089.379354 , error change = -0.000501 , lambda = 2.000000 , time consumption = 0.470862s

successful step! iteration = 2564 , error before = 19089.378853 , error next = 19089.378461 , error change = 0.000392 , lambda = 0.200000 , time consumption = 0.462760s

unsuccessful step! iteration = 2565 , error before = 19089.378461 , error next = 19089.378955 , error change = -0.000495 , lambda = 2.000000 , time consumption = 0.486999s

successful step! iteration = 2566 , error before = 19089.378461 , error next = 19089.378073 , error change = 0.000388 , lambda = 0.200000 , time consumption = 0.494410s

unsuccessful step! iteration = 2567 , error before = 19089.378073 , error next = 19089.378562 , error change = -0.000489 , lambda = 2.000000 , time consumption = 0.459240s

successful step! iteration = 2568 , error before = 19089.378073 , error next = 19089.377690 , error change = 0.000383 , lambda = 0.200000 , time consumption = 0.463622s

unsuccessful step! iteration = 2569 , error before = 19089.377690 , error next = 19089.378173 , error change = -0.000483 , lambda = 2.000000 , time consumption = 0.464043s

successful step! iteration = 2570 , error before = 19089.377690 , error next = 19089.377311 , error change = 0.000379 , lambda = 0.200000 , time consumption = 0.481227s

unsuccessful step! iteration = 2571 , error before = 19089.377311 , error next = 19089.377788 , error change = -0.000477 , lambda = 2.000000 , time consumption = 0.461038s

successful step! iteration = 2572 , error before = 19089.377311 , error next = 19089.376937 , error change = 0.000374 , lambda = 0.200000 , time consumption = 0.460978s

unsuccessful step! iteration = 2573 , error before = 19089.376937 , error next = 19089.377409 , error change = -0.000471 , lambda = 2.000000 , time consumption = 0.459012s

successful step! iteration = 2574 , error before = 19089.376937 , error next = 19089.376568 , error change = 0.000369 , lambda = 0.200000 , time consumption = 0.460333s

unsuccessful step! iteration = 2575 , error before = 19089.376568 , error next = 19089.377034 , error change = -0.000466 , lambda = 2.000000 , time consumption = 0.468805s

successful step! iteration = 2576 , error before = 19089.376568 , error next = 19089.376203 , error change = 0.000365 , lambda = 0.200000 , time consumption = 0.459981s

unsuccessful step! iteration = 2577 , error before = 19089.376203 , error next = 19089.376663 , error change = -0.000460 , lambda = 2.000000 , time consumption = 0.460146s

successful step! iteration = 2578 , error before = 19089.376203 , error next = 19089.375842 , error change = 0.000361 , lambda = 0.200000 , time consumption = 0.458468s

unsuccessful step! iteration = 2579 , error before = 19089.375842 , error next = 19089.376297 , error change = -0.000455 , lambda = 2.000000 , time consumption = 0.457545s

successful step! iteration = 2580 , error before = 19089.375842 , error next = 19089.375486 , error change = 0.000356 , lambda = 0.200000 , time consumption = 0.457330s

unsuccessful step! iteration = 2581 , error before = 19089.375486 , error next = 19089.375935 , error change = -0.000449 , lambda = 2.000000 , time consumption = 0.458582s

successful step! iteration = 2582 , error before = 19089.375486 , error next = 19089.375134 , error change = 0.000352 , lambda = 0.200000 , time consumption = 0.462006s

unsuccessful step! iteration = 2583 , error before = 19089.375134 , error next = 19089.375578 , error change = -0.000444 , lambda = 2.000000 , time consumption = 0.460412s

successful step! iteration = 2584 , error before = 19089.375134 , error next = 19089.374786 , error change = 0.000348 , lambda = 0.200000 , time consumption = 0.458806s

unsuccessful step! iteration = 2585 , error before = 19089.374786 , error next = 19089.375224 , error change = -0.000438 , lambda = 2.000000 , time consumption = 0.459987s

successful step! iteration = 2586 , error before = 19089.374786 , error next = 19089.374442 , error change = 0.000344 , lambda = 0.200000 , time consumption = 0.456853s

unsuccessful step! iteration = 2587 , error before = 19089.374442 , error next = 19089.374875 , error change = -0.000433 , lambda = 2.000000 , time consumption = 0.457268s

successful step! iteration = 2588 , error before = 19089.374442 , error next = 19089.374103 , error change = 0.000340 , lambda = 0.200000 , time consumption = 0.461150s

unsuccessful step! iteration = 2589 , error before = 19089.374103 , error next = 19089.374531 , error change = -0.000428 , lambda = 2.000000 , time consumption = 0.467384s

successful step! iteration = 2590 , error before = 19089.374103 , error next = 19089.373767 , error change = 0.000335 , lambda = 0.200000 , time consumption = 0.462075s

unsuccessful step! iteration = 2591 , error before = 19089.373767 , error next = 19089.374190 , error change = -0.000423 , lambda = 2.000000 , time consumption = 0.461420s

successful step! iteration = 2592 , error before = 19089.373767 , error next = 19089.373436 , error change = 0.000331 , lambda = 0.200000 , time consumption = 0.463662s

unsuccessful step! iteration = 2593 , error before = 19089.373436 , error next = 19089.373854 , error change = -0.000418 , lambda = 2.000000 , time consumption = 0.461707s

successful step! iteration = 2594 , error before = 19089.373436 , error next = 19089.373108 , error change = 0.000327 , lambda = 0.200000 , time consumption = 0.461754s

unsuccessful step! iteration = 2595 , error before = 19089.373108 , error next = 19089.373521 , error change = -0.000413 , lambda = 2.000000 , time consumption = 0.464005s

successful step! iteration = 2596 , error before = 19089.373108 , error next = 19089.372785 , error change = 0.000324 , lambda = 0.200000 , time consumption = 0.462873s

unsuccessful step! iteration = 2597 , error before = 19089.372785 , error next = 19089.373193 , error change = -0.000408 , lambda = 2.000000 , time consumption = 0.463766s

successful step! iteration = 2598 , error before = 19089.372785 , error next = 19089.372465 , error change = 0.000320 , lambda = 0.200000 , time consumption = 0.472038s

unsuccessful step! iteration = 2599 , error before = 19089.372465 , error next = 19089.372868 , error change = -0.000403 , lambda = 2.000000 , time consumption = 0.462750s

successful step! iteration = 2600 , error before = 19089.372465 , error next = 19089.372149 , error change = 0.000316 , lambda = 0.200000 , time consumption = 0.464275s

unsuccessful step! iteration = 2601 , error before = 19089.372149 , error next = 19089.372547 , error change = -0.000398 , lambda = 2.000000 , time consumption = 0.463135s

successful step! iteration = 2602 , error before = 19089.372149 , error next = 19089.371837 , error change = 0.000312 , lambda = 0.200000 , time consumption = 0.463247s

unsuccessful step! iteration = 2603 , error before = 19089.371837 , error next = 19089.372231 , error change = -0.000393 , lambda = 2.000000 , time consumption = 0.460755s

successful step! iteration = 2604 , error before = 19089.371837 , error next = 19089.371529 , error change = 0.000308 , lambda = 0.200000 , time consumption = 0.463104s

unsuccessful step! iteration = 2605 , error before = 19089.371529 , error next = 19089.371918 , error change = -0.000389 , lambda = 2.000000 , time consumption = 0.466118s

successful step! iteration = 2606 , error before = 19089.371529 , error next = 19089.371224 , error change = 0.000305 , lambda = 0.200000 , time consumption = 0.466887s

unsuccessful step! iteration = 2607 , error before = 19089.371224 , error next = 19089.371608 , error change = -0.000384 , lambda = 2.000000 , time consumption = 0.472264s

successful step! iteration = 2608 , error before = 19089.371224 , error next = 19089.370923 , error change = 0.000301 , lambda = 0.200000 , time consumption = 0.465334s

unsuccessful step! iteration = 2609 , error before = 19089.370923 , error next = 19089.371303 , error change = -0.000379 , lambda = 2.000000 , time consumption = 0.466690s

successful step! iteration = 2610 , error before = 19089.370923 , error next = 19089.370626 , error change = 0.000297 , lambda = 0.200000 , time consumption = 0.467185s

unsuccessful step! iteration = 2611 , error before = 19089.370626 , error next = 19089.371001 , error change = -0.000375 , lambda = 2.000000 , time consumption = 0.465036s

successful step! iteration = 2612 , error before = 19089.370626 , error next = 19089.370332 , error change = 0.000294 , lambda = 0.200000 , time consumption = 0.466108s

unsuccessful step! iteration = 2613 , error before = 19089.370332 , error next = 19089.370703 , error change = -0.000370 , lambda = 2.000000 , time consumption = 0.465492s

successful step! iteration = 2614 , error before = 19089.370332 , error next = 19089.370042 , error change = 0.000290 , lambda = 0.200000 , time consumption = 0.465482s

unsuccessful step! iteration = 2615 , error before = 19089.370042 , error next = 19089.370408 , error change = -0.000366 , lambda = 2.000000 , time consumption = 0.468946s

successful step! iteration = 2616 , error before = 19089.370042 , error next = 19089.369755 , error change = 0.000287 , lambda = 0.200000 , time consumption = 0.468757s

unsuccessful step! iteration = 2617 , error before = 19089.369755 , error next = 19089.370117 , error change = -0.000361 , lambda = 2.000000 , time consumption = 0.465460s

successful step! iteration = 2618 , error before = 19089.369755 , error next = 19089.369472 , error change = 0.000283 , lambda = 0.200000 , time consumption = 0.465401s

unsuccessful step! iteration = 2619 , error before = 19089.369472 , error next = 19089.369829 , error change = -0.000357 , lambda = 2.000000 , time consumption = 0.468025s

successful step! iteration = 2620 , error before = 19089.369472 , error next = 19089.369192 , error change = 0.000280 , lambda = 0.200000 , time consumption = 0.461543s

unsuccessful step! iteration = 2621 , error before = 19089.369192 , error next = 19089.369545 , error change = -0.000353 , lambda = 2.000000 , time consumption = 0.463934s

successful step! iteration = 2622 , error before = 19089.369192 , error next = 19089.368916 , error change = 0.000277 , lambda = 0.200000 , time consumption = 0.486439s

unsuccessful step! iteration = 2623 , error before = 19089.368916 , error next = 19089.369264 , error change = -0.000349 , lambda = 2.000000 , time consumption = 0.464660s

successful step! iteration = 2624 , error before = 19089.368916 , error next = 19089.368642 , error change = 0.000273 , lambda = 0.200000 , time consumption = 0.464733s

unsuccessful step! iteration = 2625 , error before = 19089.368642 , error next = 19089.368987 , error change = -0.000344 , lambda = 2.000000 , time consumption = 0.466988s

successful step! iteration = 2626 , error before = 19089.368642 , error next = 19089.368372 , error change = 0.000270 , lambda = 0.200000 , time consumption = 0.472757s

unsuccessful step! iteration = 2627 , error before = 19089.368372 , error next = 19089.368713 , error change = -0.000340 , lambda = 2.000000 , time consumption = 0.468899s

successful step! iteration = 2628 , error before = 19089.368372 , error next = 19089.368106 , error change = 0.000267 , lambda = 0.200000 , time consumption = 0.468415s

unsuccessful step! iteration = 2629 , error before = 19089.368106 , error next = 19089.368442 , error change = -0.000336 , lambda = 2.000000 , time consumption = 0.470491s

successful step! iteration = 2630 , error before = 19089.368106 , error next = 19089.367842 , error change = 0.000264 , lambda = 0.200000 , time consumption = 0.463588s

unsuccessful step! iteration = 2631 , error before = 19089.367842 , error next = 19089.368174 , error change = -0.000332 , lambda = 2.000000 , time consumption = 0.489201s

successful step! iteration = 2632 , error before = 19089.367842 , error next = 19089.367582 , error change = 0.000260 , lambda = 0.200000 , time consumption = 0.464967s

unsuccessful step! iteration = 2633 , error before = 19089.367582 , error next = 19089.367910 , error change = -0.000328 , lambda = 2.000000 , time consumption = 0.461891s

successful step! iteration = 2634 , error before = 19089.367582 , error next = 19089.367325 , error change = 0.000257 , lambda = 0.200000 , time consumption = 0.467418s

unsuccessful step! iteration = 2635 , error before = 19089.367325 , error next = 19089.367649 , error change = -0.000324 , lambda = 2.000000 , time consumption = 0.467240s

successful step! iteration = 2636 , error before = 19089.367325 , error next = 19089.367071 , error change = 0.000254 , lambda = 0.200000 , time consumption = 0.461307s

unsuccessful step! iteration = 2637 , error before = 19089.367071 , error next = 19089.367391 , error change = -0.000320 , lambda = 2.000000 , time consumption = 0.460145s

successful step! iteration = 2638 , error before = 19089.367071 , error next = 19089.366819 , error change = 0.000251 , lambda = 0.200000 , time consumption = 0.462463s

unsuccessful step! iteration = 2639 , error before = 19089.366819 , error next = 19089.367136 , error change = -0.000317 , lambda = 2.000000 , time consumption = 0.460017s

successful step! iteration = 2640 , error before = 19089.366819 , error next = 19089.366571 , error change = 0.000248 , lambda = 0.200000 , time consumption = 0.461076s

unsuccessful step! iteration = 2641 , error before = 19089.366571 , error next = 19089.366884 , error change = -0.000313 , lambda = 2.000000 , time consumption = 0.458930s

successful step! iteration = 2642 , error before = 19089.366571 , error next = 19089.366326 , error change = 0.000245 , lambda = 0.200000 , time consumption = 0.459159s

unsuccessful step! iteration = 2643 , error before = 19089.366326 , error next = 19089.366635 , error change = -0.000309 , lambda = 2.000000 , time consumption = 0.457772s

successful step! iteration = 2644 , error before = 19089.366326 , error next = 19089.366084 , error change = 0.000242 , lambda = 0.200000 , time consumption = 0.459296s

unsuccessful step! iteration = 2645 , error before = 19089.366084 , error next = 19089.366389 , error change = -0.000305 , lambda = 2.000000 , time consumption = 0.460047s

successful step! iteration = 2646 , error before = 19089.366084 , error next = 19089.365845 , error change = 0.000239 , lambda = 0.200000 , time consumption = 0.459006s

unsuccessful step! iteration = 2647 , error before = 19089.365845 , error next = 19089.366146 , error change = -0.000302 , lambda = 2.000000 , time consumption = 0.460649s

successful step! iteration = 2648 , error before = 19089.365845 , error next = 19089.365608 , error change = 0.000236 , lambda = 0.200000 , time consumption = 0.462009s

unsuccessful step! iteration = 2649 , error before = 19089.365608 , error next = 19089.365906 , error change = -0.000298 , lambda = 2.000000 , time consumption = 0.462006s

successful step! iteration = 2650 , error before = 19089.365608 , error next = 19089.365375 , error change = 0.000234 , lambda = 0.200000 , time consumption = 0.462211s

unsuccessful step! iteration = 2651 , error before = 19089.365375 , error next = 19089.365669 , error change = -0.000294 , lambda = 2.000000 , time consumption = 0.460718s

successful step! iteration = 2652 , error before = 19089.365375 , error next = 19089.365144 , error change = 0.000231 , lambda = 0.200000 , time consumption = 0.460561s

unsuccessful step! iteration = 2653 , error before = 19089.365144 , error next = 19089.365435 , error change = -0.000291 , lambda = 2.000000 , time consumption = 0.462737s

successful step! iteration = 2654 , error before = 19089.365144 , error next = 19089.364916 , error change = 0.000228 , lambda = 0.200000 , time consumption = 0.460400s

unsuccessful step! iteration = 2655 , error before = 19089.364916 , error next = 19089.365204 , error change = -0.000287 , lambda = 2.000000 , time consumption = 0.453455s

successful step! iteration = 2656 , error before = 19089.364916 , error next = 19089.364691 , error change = 0.000225 , lambda = 0.200000 , time consumption = 0.452731s

unsuccessful step! iteration = 2657 , error before = 19089.364691 , error next = 19089.364975 , error change = -0.000284 , lambda = 2.000000 , time consumption = 0.451452s

successful step! iteration = 2658 , error before = 19089.364691 , error next = 19089.364468 , error change = 0.000223 , lambda = 0.200000 , time consumption = 0.452225s

unsuccessful step! iteration = 2659 , error before = 19089.364468 , error next = 19089.364749 , error change = -0.000281 , lambda = 2.000000 , time consumption = 0.453226s

successful step! iteration = 2660 , error before = 19089.364468 , error next = 19089.364249 , error change = 0.000220 , lambda = 0.200000 , time consumption = 0.453150s

unsuccessful step! iteration = 2661 , error before = 19089.364249 , error next = 19089.364526 , error change = -0.000277 , lambda = 2.000000 , time consumption = 0.453501s

successful step! iteration = 2662 , error before = 19089.364249 , error next = 19089.364031 , error change = 0.000217 , lambda = 0.200000 , time consumption = 0.453875s

unsuccessful step! iteration = 2663 , error before = 19089.364031 , error next = 19089.364305 , error change = -0.000274 , lambda = 2.000000 , time consumption = 0.452196s

successful step! iteration = 2664 , error before = 19089.364031 , error next = 19089.363817 , error change = 0.000215 , lambda = 0.200000 , time consumption = 0.453470s

unsuccessful step! iteration = 2665 , error before = 19089.363817 , error next = 19089.364087 , error change = -0.000271 , lambda = 2.000000 , time consumption = 0.457698s

successful step! iteration = 2666 , error before = 19089.363817 , error next = 19089.363605 , error change = 0.000212 , lambda = 0.200000 , time consumption = 0.460522s

unsuccessful step! iteration = 2667 , error before = 19089.363605 , error next = 19089.363872 , error change = -0.000267 , lambda = 2.000000 , time consumption = 0.467935s

successful step! iteration = 2668 , error before = 19089.363605 , error next = 19089.363395 , error change = 0.000210 , lambda = 0.200000 , time consumption = 0.476579s

unsuccessful step! iteration = 2669 , error before = 19089.363395 , error next = 19089.363659 , error change = -0.000264 , lambda = 2.000000 , time consumption = 0.459188s

successful step! iteration = 2670 , error before = 19089.363395 , error next = 19089.363188 , error change = 0.000207 , lambda = 0.200000 , time consumption = 0.462973s

unsuccessful step! iteration = 2671 , error before = 19089.363188 , error next = 19089.363449 , error change = -0.000261 , lambda = 2.000000 , time consumption = 0.464437s

successful step! iteration = 2672 , error before = 19089.363188 , error next = 19089.362984 , error change = 0.000205 , lambda = 0.200000 , time consumption = 0.470950s

unsuccessful step! iteration = 2673 , error before = 19089.362984 , error next = 19089.363241 , error change = -0.000258 , lambda = 2.000000 , time consumption = 0.464238s

successful step! iteration = 2674 , error before = 19089.362984 , error next = 19089.362782 , error change = 0.000202 , lambda = 0.200000 , time consumption = 0.465105s

unsuccessful step! iteration = 2675 , error before = 19089.362782 , error next = 19089.363036 , error change = -0.000255 , lambda = 2.000000 , time consumption = 0.464794s

successful step! iteration = 2676 , error before = 19089.362782 , error next = 19089.362582 , error change = 0.000200 , lambda = 0.200000 , time consumption = 0.467460s

unsuccessful step! iteration = 2677 , error before = 19089.362582 , error next = 19089.362834 , error change = -0.000252 , lambda = 2.000000 , time consumption = 0.463232s

successful step! iteration = 2678 , error before = 19089.362582 , error next = 19089.362385 , error change = 0.000197 , lambda = 0.200000 , time consumption = 0.463997s

unsuccessful step! iteration = 2679 , error before = 19089.362385 , error next = 19089.362633 , error change = -0.000249 , lambda = 2.000000 , time consumption = 0.465876s

successful step! iteration = 2680 , error before = 19089.362385 , error next = 19089.362190 , error change = 0.000195 , lambda = 0.200000 , time consumption = 0.463563s

unsuccessful step! iteration = 2681 , error before = 19089.362190 , error next = 19089.362435 , error change = -0.000246 , lambda = 2.000000 , time consumption = 0.462796s

successful step! iteration = 2682 , error before = 19089.362190 , error next = 19089.361997 , error change = 0.000193 , lambda = 0.200000 , time consumption = 0.464503s

unsuccessful step! iteration = 2683 , error before = 19089.361997 , error next = 19089.362240 , error change = -0.000243 , lambda = 2.000000 , time consumption = 0.472365s

successful step! iteration = 2684 , error before = 19089.361997 , error next = 19089.361807 , error change = 0.000190 , lambda = 0.200000 , time consumption = 0.466070s

unsuccessful step! iteration = 2685 , error before = 19089.361807 , error next = 19089.362047 , error change = -0.000240 , lambda = 2.000000 , time consumption = 0.467169s

successful step! iteration = 2686 , error before = 19089.361807 , error next = 19089.361619 , error change = 0.000188 , lambda = 0.200000 , time consumption = 0.467743s

unsuccessful step! iteration = 2687 , error before = 19089.361619 , error next = 19089.361856 , error change = -0.000237 , lambda = 2.000000 , time consumption = 0.467073s

successful step! iteration = 2688 , error before = 19089.361619 , error next = 19089.361433 , error change = 0.000186 , lambda = 0.200000 , time consumption = 0.463427s

unsuccessful step! iteration = 2689 , error before = 19089.361433 , error next = 19089.361667 , error change = -0.000234 , lambda = 2.000000 , time consumption = 0.478865s

successful step! iteration = 2690 , error before = 19089.361433 , error next = 19089.361250 , error change = 0.000183 , lambda = 0.200000 , time consumption = 0.458112s

unsuccessful step! iteration = 2691 , error before = 19089.361250 , error next = 19089.361481 , error change = -0.000231 , lambda = 2.000000 , time consumption = 0.467900s

successful step! iteration = 2692 , error before = 19089.361250 , error next = 19089.361069 , error change = 0.000181 , lambda = 0.200000 , time consumption = 0.468453s

unsuccessful step! iteration = 2693 , error before = 19089.361069 , error next = 19089.361297 , error change = -0.000228 , lambda = 2.000000 , time consumption = 0.464255s

successful step! iteration = 2694 , error before = 19089.361069 , error next = 19089.360890 , error change = 0.000179 , lambda = 0.200000 , time consumption = 0.464378s

unsuccessful step! iteration = 2695 , error before = 19089.360890 , error next = 19089.361115 , error change = -0.000226 , lambda = 2.000000 , time consumption = 0.484616s

successful step! iteration = 2696 , error before = 19089.360890 , error next = 19089.360713 , error change = 0.000177 , lambda = 0.200000 , time consumption = 0.466167s

unsuccessful step! iteration = 2697 , error before = 19089.360713 , error next = 19089.360936 , error change = -0.000223 , lambda = 2.000000 , time consumption = 0.469624s

successful step! iteration = 2698 , error before = 19089.360713 , error next = 19089.360538 , error change = 0.000175 , lambda = 0.200000 , time consumption = 0.481142s

unsuccessful step! iteration = 2699 , error before = 19089.360538 , error next = 19089.360758 , error change = -0.000220 , lambda = 2.000000 , time consumption = 0.457973s

successful step! iteration = 2700 , error before = 19089.360538 , error next = 19089.360365 , error change = 0.000173 , lambda = 0.200000 , time consumption = 0.458292s

unsuccessful step! iteration = 2701 , error before = 19089.360365 , error next = 19089.360583 , error change = -0.000218 , lambda = 2.000000 , time consumption = 0.459922s

successful step! iteration = 2702 , error before = 19089.360365 , error next = 19089.360195 , error change = 0.000171 , lambda = 0.200000 , time consumption = 0.453014s

unsuccessful step! iteration = 2703 , error before = 19089.360195 , error next = 19089.360410 , error change = -0.000215 , lambda = 2.000000 , time consumption = 0.460531s

successful step! iteration = 2704 , error before = 19089.360195 , error next = 19089.360026 , error change = 0.000169 , lambda = 0.200000 , time consumption = 0.454963s

unsuccessful step! iteration = 2705 , error before = 19089.360026 , error next = 19089.360238 , error change = -0.000213 , lambda = 2.000000 , time consumption = 0.458052s

successful step! iteration = 2706 , error before = 19089.360026 , error next = 19089.359859 , error change = 0.000167 , lambda = 0.200000 , time consumption = 0.454775s

unsuccessful step! iteration = 2707 , error before = 19089.359859 , error next = 19089.360069 , error change = -0.000210 , lambda = 2.000000 , time consumption = 0.455481s

successful step! iteration = 2708 , error before = 19089.359859 , error next = 19089.359695 , error change = 0.000165 , lambda = 0.200000 , time consumption = 0.459785s

unsuccessful step! iteration = 2709 , error before = 19089.359695 , error next = 19089.359902 , error change = -0.000207 , lambda = 2.000000 , time consumption = 0.456010s

successful step! iteration = 2710 , error before = 19089.359695 , error next = 19089.359532 , error change = 0.000163 , lambda = 0.200000 , time consumption = 0.453983s

unsuccessful step! iteration = 2711 , error before = 19089.359532 , error next = 19089.359737 , error change = -0.000205 , lambda = 2.000000 , time consumption = 0.452538s

successful step! iteration = 2712 , error before = 19089.359532 , error next = 19089.359372 , error change = 0.000161 , lambda = 0.200000 , time consumption = 0.459752s

unsuccessful step! iteration = 2713 , error before = 19089.359372 , error next = 19089.359574 , error change = -0.000202 , lambda = 2.000000 , time consumption = 0.458310s

successful step! iteration = 2714 , error before = 19089.359372 , error next = 19089.359213 , error change = 0.000159 , lambda = 0.200000 , time consumption = 0.459649s

unsuccessful step! iteration = 2715 , error before = 19089.359213 , error next = 19089.359413 , error change = -0.000200 , lambda = 2.000000 , time consumption = 0.469380s

successful step! iteration = 2716 , error before = 19089.359213 , error next = 19089.359056 , error change = 0.000157 , lambda = 0.200000 , time consumption = 0.462232s

unsuccessful step! iteration = 2717 , error before = 19089.359056 , error next = 19089.359254 , error change = -0.000198 , lambda = 2.000000 , time consumption = 0.462451s

successful step! iteration = 2718 , error before = 19089.359056 , error next = 19089.358901 , error change = 0.000155 , lambda = 0.200000 , time consumption = 0.462725s

